address,group,tx_count,avg_interval,reused_ratio,high_fee
bc1qh84q2dmwzsc9nktug5q6rscv95mg9ehffmdqdf,bitcointumbler,2,9999,0.0,True
1JzdWcDR3GrBvxo1CbJntpC4PfJkeueb1k,darknetmarket,2,9999,0.0,True
1B3Lx1t4CQSt3ck85bqzGHC9TeEQGANhUR,darknetmarket,6,9999,0.19,True
12yCNJHAwda8Kgxv9DswpS9k16XnstSqcJ,darknetmarket,29,9999,0.17,True
bc1qwqf09f5whud09mka83ea59yrpzm20dpcwc780e,darknetmarket,9,9999,0.76,True
bc1q6x4kev9pefay37uctaq9ggqmxrg7a6txn2tanf,darknetmarket,15,9999,0.05,True
1JTtwbvmM7ymByxPYCByVYCwasjH49J3Vj,darknetmarket,50,9999,0.15,True
1Ps2HsbfZ9yuCyFzWdWFwMgnHGgs9Bnv5h,darknetmarket,16,9999,0.11,True
15DMMwLTqV4RmYpJZDoNUZvzNikX1m6j4R,darknetmarket,6,9999,0.03,True
1DbTMUuhB1XPJ2ktxKygDbrXypGofuHhq6,darknetmarket,4,9999,0.29,True
19qL8vdRtk5xJcGNVk3WruuSyitVfSAy7f,darknetmarket,19,9999,0.34,True
1B1Vov1LTLGLcVG3ycPQhQLe81V67FZpMZ,darknetmarket,18,9999,0.09,True
1M4vj3NedeJ3o7SwpNdnfMtzrvvUZbXFbg,darknetmarket,2,9999,0.0,True
bc1qrxeecc52dfktp4qw32fpfmgwzn99udk3chr7va,darknetmarket,10,9999,0.38,True
1A7nmeXMjFd8unyg9hopifwBRpWu5MpqQw,darknetmarket,2,9999,0.0,True
1BPUUNghhuwQjDDvFd3TnJz2ato5dyDLr8,darknetmarket,18,9999,0.09,True
1QK2CUmzTJLJcQaySnTP3WnwqpHN4VwVA4,darknetmarket,14,9999,0.12,True
19nxQqKXPU2btSnf4VXYmprNUX4YrDuWAn,darknetmarket,47,9999,0.16,True
12YfqqLP4qAeENmnuW7sB8oC8T6TFLawE5,darknetmarket,50,9999,0.24,True
15mgxh8neVVkwM1z9TYo9Ak7NZqp6c9rFT,darknetmarket,9,9999,0.44,True
1K6aBBFqqvMtMWk2bMgBFZnXaqEUWQgQaM,darknetmarket,6,9999,0.2,True
1F5csJmyf3yJs5s25tZmYKoFXznR452er9,darknetmarket,12,9999,0.12,True
1KghHpjrMtpEDEScJ3TqDiXEZhTjZsbf24,darknetmarket,6,9999,0.25,True
3JfJEGtpGBGR4Lqs4hdrdTuafTRECThunP,darknetmarket,2,9999,0.22,True
1DK8REUxMnvfte6ceXB7pnH356PsXNzGzn,darknetmarket,10,9999,0.02,True
1BDaStcRvbM3QJei5ZT1FxLRy7M7Jk3j1c,darknetmarket,2,9999,0.0,True
1BzkoGfrLtL59ZGjhKfvBwy47DEb6oba5f,darknetmarket,24,9999,0.44,True
3KWGsjdcCuSqeRXKZWsM1ZZzQo1NFNJ2bR,darknetmarket,50,9999,0.12,True
19K6dCNG71DYHbzp9Ycy69xUmn8nWhq4ms,darknetmarket,7,9999,0.36,True
bc1qweddwmvntctn43wuqsu75un50s3lwmcp05nred,darknetmarket,4,9999,0.01,True
1LfYcbCsssB2niF3VWRBTVZFExzsweyPGQ,darknetmarket,26,9999,0.16,True
1PUwf7ybLvvKLJ8NpWeaEChz4WFQtnC2Gx,darknetmarket,13,9999,0.16,True
1KFyQyxY9UXCk5NUd7MZ4DSZFxjchweG2L,darknetmarket,2,9999,0.0,True
1Lughwk11SAsz54wZJ3bpGbNqGfVanMWzk,darknetmarket,10,9999,0.09,True
38CCo55dbyxd5wF8hripGQpMe3FznJ8w4u,darknetmarket,4,9999,0.17,True
1NkQMBosJTeN1zs1T4X3QM5BLFX24YPKys,darknetmarket,5,9999,0.25,True
1KnMcEqCTvQfMzEgnvfZvyprLPc2bnvMm8,darknetmarket,7,9999,0.08,True
1MWGJJ29hPzLubSDtzQ4nKWuhfaLnyWSUr,darknetmarket,8,9999,0.19,True
12hBxZ7mzn3LgT3SjCsS6yS4tVefPBWCPt,darknetmarket,9,9999,0.23,True
1LHf6YFkunPBu8XTvVFb9Am1bf1JhdutaT,darknetmarket,2,9999,0.0,True
13mdq9V4nB1Rwoici4C1KE6853UV7YbHZr,darknetmarket,6,9999,0.44,True
1KvtgTHxtbZnoHvJGpWL6EvDRQSvzuAEPA,darknetmarket,50,9999,0.06,True
